电影名称	评分	评价数量	
﻿肖申克的救赎	9.6	1070844人	
霸王别姬	9.5	780850人	
这个杀手不太冷	9.4	997703人	
阿甘正传	9.4	849415人	
美丽人生	9.5	496787人	
泰坦尼克号	9.3	788635人	
千与千寻	9.3	795388人	
辛德勒的名单	9.4	450781人	
盗梦空间	9.3	883396人	
机器人总动员	9.3	579867人	
三傻大闹宝莱坞	9.2	796517人	
海上钢琴师	9.2	677168人	
忠犬八公的故事	9.2	554659人	
放牛班的春天	9.2	534608人	
大话西游之大圣娶亲	9.2	585740人	
楚门的世界	9.1	560270人	
龙猫	9.1	493054人	
教父	9.2	399435人	
星际穿越	9.2	586692人	
熔炉	9.2	325594人	
触不可及	9.2	433035人	
乱世佳人	9.2	308950人	
无间道	9.1	478146人	
当幸福来敲门	8.9	631127人	
怦然心动	8.9	666833人	
﻿天堂电影院	9.1	346957人	
十二怒汉	9.4	198006人	
鬼子来了	9.2	273123人	
少年派的奇幻漂流	9.0	662487人	
蝙蝠侠：黑暗骑士	9.1	385361人	
活着	9.1	320758人	
搏击俱乐部	9.0	444835人	
指环王3：王者无敌	9.1	325344人	
疯狂动物城	9.1	617751人	
天空之城	9.0	383127人	
大话西游之月光宝盒	8.9	472027人	
罗马假日	8.9	440340人	
飞屋环游记	8.9	574150人	
控方证人	9.6	121537人	
窃听风暴	9.1	259156人	
两杆大烟枪	9.1	304862人	
飞越疯人院	9.0	309778人	
闻香识女人	8.9	372442人	
哈尔的移动城堡	8.9	409977人	
辩护人	9.2	250947人	
海豚湾	9.3	201676人	
V字仇杀队	8.8	482178人	
死亡诗社	9.0	320656人	
教父2	9.1	215461人	
美丽心灵	8.9	344724人	
﻿指环王2：双塔奇兵	9.0	305904人	
指环王1：魔戒再现	8.9	342316人	
饮食男女	9.1	234277人	
摔跤吧！爸爸	9.1	549335人	
情书	8.8	424817人	
美国往事	9.1	198016人	
狮子王	8.9	319882人	
钢琴家	9.0	227209人	
素媛	9.1	216683人	
天使爱美丽	8.7	534361人	
小鞋子	9.2	160479人	
七宗罪	8.7	481412人	
被嫌弃的松子的一生	8.9	334790人	
致命魔术	8.8	388092人	
本杰明·巴顿奇事	8.8	440624人	
音乐之声	8.9	258784人	
勇敢的心	8.8	322600人	
西西里的美丽传说	8.8	402303人	
剪刀手爱德华	8.7	539053人	
黑客帝国	8.8	318297人	
低俗小说	8.8	377915人	
拯救大兵瑞恩	8.9	272027人	
沉默的羔羊	8.7	395206人	
让子弹飞	8.7	707322人	
看不见的客人	8.7	407238人	
﻿蝴蝶效应	8.7	427545人	
入殓师	8.8	346018人	
春光乍泄	8.8	280730人	
大闹天宫	9.3	117392人	
末代皇帝	9.0	200941人	
玛丽和马克思	8.9	249737人	
心灵捕手	8.8	306006人	
阳光灿烂的日子	8.8	304929人	
幽灵公主	8.8	262337人	
第六感	8.8	260712人	
布达佩斯大饭店	8.8	363088人	
重庆森林	8.7	372678人	
哈利·波特与魔法石	8.7	299499人	
禁闭岛	8.7	404338人	
狩猎	9.0	149296人	
猫鼠游戏	8.8	264713人	
大鱼	8.7	280042人	
致命ID	8.7	356198人	
断背山	8.7	355695人	
甜蜜蜜	8.8	255433人	
射雕英雄传之东成西就	8.7	306226人	
一一	8.9	172315人	
告白	8.7	378887人	
加勒比海盗	8.6	386459人	
阳光姐妹淘	8.8	298652人	
﻿穿条纹睡衣的男孩	8.9	171209人	
摩登时代	9.2	101875人	
上帝之城	8.9	170917人	
阿凡达	8.6	584093人	
爱在黎明破晓前	8.7	246683人	
消失的爱人	8.7	400035人	
风之谷	8.8	194510人	
爱在日落黄昏时	8.7	219588人	
侧耳倾听	8.8	189201人	
超脱	8.8	195046人	
红辣椒	8.9	153081人	
恐怖直播	8.7	253740人	
倩女幽魂	8.6	286849人	
小森林 夏秋篇	8.9	153731人	
喜剧之王	8.6	357646人	
驯龙高手	8.7	315135人	
菊次郎的夏天	8.7	205548人	
幸福终点站	8.7	246549人	
萤火虫之墓	8.7	223649人	
借东西的小人阿莉埃蒂	8.7	240098人	
岁月神偷	8.6	331696人	
七武士	9.2	85514人	
杀人回忆	8.7	230050人	
神偷奶爸	8.5	420264人	
喜宴	8.8	154904人	
﻿贫民窟的百万富翁	8.5	424751人	
电锯惊魂	8.7	216217人	
真爱至上	8.5	340318人	
谍影重重3	8.7	196555人	
海洋	9.0	104395人	
东邪西毒	8.6	275992人	
怪兽电力公司	8.6	267283人	
记忆碎片	8.5	303717人	
雨人	8.6	225236人	
黑天鹅	8.5	452669人	
疯狂原始人	8.7	402037人	
卢旺达饭店	8.9	131637人	
燃情岁月	8.7	157824人	
虎口脱险	8.9	115020人	
英雄本色	8.6	188155人	
小森林 冬春篇	8.9	133195人	
7号房的礼物	8.7	197605人	
哈利·波特与死亡圣器(下)	8.7	299597人	
心迷宫	8.6	199851人	
傲慢与偏见	8.5	331798人	
荒蛮故事	8.8	160202人	
萤火之森	8.7	176267人	
海边的曼彻斯特	8.6	219819人	
恋恋笔记本	8.5	310066人	
完美的世界	9.0	90142人	
﻿教父3	8.8	143893人	
纵横四海	8.7	163184人	
花样年华	8.5	269774人	
玩具总动员3	8.8	207349人	
请以你的名字呼唤我	8.8	197900人	
猜火车	8.5	265197人	
魂断蓝桥	8.8	138833人	
穿越时空的少女	8.6	200080人	
唐伯虎点秋香	8.4	368698人	
时空恋旅人	8.6	224372人	
超能陆战队	8.6	407874人	
雨中曲	9.0	100007人	
蝙蝠侠：黑暗骑士崛起	8.6	319627人	
二十二	8.7	114125人	
我是山姆	8.8	114505人	
人工智能	8.6	206218人	
冰川时代	8.4	294413人	
达拉斯买家俱乐部	8.7	196685人	
浪潮	8.7	143645人	
朗读者	8.5	294762人	
香水	8.4	298022人	
爆裂鼓手	8.6	259951人	
罗生门	8.7	137102人	
未麻的部屋	8.8	109256人	
阿飞正传	8.5	224756人	
﻿一次别离	8.7	142242人	
追随	8.9	88456人	
可可西里	8.7	139268人	
撞车	8.6	185417人	
恐怖游轮	8.3	356955人	
被解救的姜戈	8.6	279393人	
战争之王	8.6	186713人	
地球上的星星	8.8	93032人	
血战钢锯岭	8.6	350212人	
梦之安魂曲	8.7	119991人	
头脑特工队	8.7	249765人	
房间	8.8	172730人	
牯岭街少年杀人事件	8.7	116423人	
魔女宅急便	8.5	211979人	
谍影重重	8.5	206055人	
谍影重重2	8.6	171064人	
惊魂记	8.9	91042人	
忠犬八公物语	9.0	66237人	
模仿游戏	8.6	277693人	
青蛇	8.4	239400人	
无人知晓	9.0	69043人	
再次出发之纽约遇见你	8.5	186806人	
东京物语	9.2	55760人	
哪吒闹海	8.9	87889人	
一个叫欧维的男人决定去死	8.7	134571人	
﻿你的名字。	8.4	522745人	
完美陌生人	8.6	220893人	
碧海蓝天	8.7	112164人	
小萝莉的猴神大叔	8.5	177660人	
源代码	8.3	435367人	
末路狂花	8.7	113107人	
终结者2：审判日	8.6	151505人	
黑客帝国3：矩阵革命	8.5	168394人	
秒速5厘米	8.3	322562人	
新龙门客栈	8.5	198919人	
绿里奇迹	8.7	114382人	
海盗电台	8.6	172982人	
这个男人来自地球	8.5	196426人	
勇闯夺命岛	8.6	150579人	
城市之光	9.2	48278人	
卡萨布兰卡	8.6	132872人	
无耻混蛋	8.4	238060人	
初恋这件小事	8.3	494502人	
变脸	8.4	227272人	
E.T. 外星人	8.5	164418人	
发条橙	8.4	197319人	
爱在午夜降临前	8.8	126294人	
黄金三镖客	9.1	55520人	
美国丽人	8.4	196933人	
荒野生存	8.6	135239人	
﻿迁徙的鸟	9.1	54053人	
无敌破坏王	8.6	198203人	
疯狂的石头	8.3	341554人	
步履不停	8.8	86086人	
英国病人	8.4	182258人	
燕尾蝶	8.6	112239人	
非常嫌疑犯	8.6	124149人	
彗星来的那一夜	8.4	197622人	
国王的演讲	8.3	361457人	
勇士	8.9	92461人	
血钻	8.5	142969人	
叫我第一名	8.6	115107人	
海街日记	8.6	142219人	
穆赫兰道	8.3	249130人	
聚焦	8.8	137838人	
上帝也疯狂	8.6	101482人	
枪火	8.6	106612人	
我爱你	9.0	62518人	
遗愿清单	8.5	139746人	
黑鹰坠落	8.5	124891人	
荒岛余生	8.5	143951人	
大卫·戈尔的一生	8.6	101336人	
千钧一发	8.7	92944人	
蓝色大门	8.3	284193人	
爱·回家	9.0	50382人	
